Дата,Доллар США,Евро,Фунт стерлингов,Китайский юань,Японская йена,value_RUB,value_USD,value_EUR,value_GBP,value_JPY,value_CNY
2017-07-02,58.7121,63.1566,73.1259,85.5363,52.1121,10.0,0.68778,-0.415,0.35681,-0.00943,2.281
2017-03-02,59.9858,64.7307,76.104,87.1671,53.1765,10.0,0.69278,-0.41214,0.35213,-0.00614,2.218
2017-02-02,60.3099,65.0322,75.8216,87.6381,53.1857,10.0,0.68833,-0.41214,0.35463,-0.00364,2.469625
2017-01-02,60.0851,64.285,75.1484,87.3114,52.8662,10.0,0.69111,-0.41071,0.35588,-0.00536,2.4943
2017-01-31,60.1618,64.4333,75.473,87.4229,52.3647,10.0,0.69,-0.41071,0.35588,-0.01214,2.486675
2017-01-27,59.6356,64.0248,75.4987,86.6897,52.4476,10.0,0.69,-0.41071,0.35713,-0.01286,2.520775
2017-01-26,59.1489,63.4254,74.0603,85.976,52.0837,10.0,0.68722,-0.41071,0.36338,-0.01357,2.5293
2017-01-25,59.2168,63.6225,73.9144,86.3483,52.2678,10.0,0.68833,-0.41071,0.36463,-0.01214,2.165
2017-01-24,59.5034,63.9424,73.9865,86.7827,52.3982,10.0,0.68833,-0.41071,0.36338,-0.00571,2.164
2017-01-20,59.3521,63.1803,73.0506,86.3178,51.7117,10.0,0.68833,-0.41071,0.35963,-0.025,2.376
2017-01-19,59.183,63.2252,72.9963,86.6249,52.3026,10.0,0.69,-0.41071,0.35525,-0.02643,2.364
2017-01-18,59.4015,63.2864,72.0303,86.4386,52.4771,10.0,0.68944,-0.41071,0.3565,-0.02829,2.328
2017-01-17,59.6067,63.2308,71.6651,86.4153,52.2935,10.0,0.69,-0.41,0.35663,-0.024,2.2563
2017-01-13,59.4978,63.2759,73.0395,86.215,52.1407,10.0,0.69278,-0.41071,0.3585,-0.04086,2.56486
2017-12-01,60.1614,63.5184,73.1683,86.8556,51.9282,10.0,0.69278,-0.41071,0.3585,-0.03871,2.688125
2017-11-01,59.9533,63.5445,72.6394,86.5939,51.7575,10.0,0.69278,-0.41071,0.36013,-0.04157,2.6540000000000004
2017-10-01,59.8961,63.1125,73.0014,86.3716,51.1124,10.0,0.69333,-0.41071,0.36138,-0.05086,2.446533333333333
2016-12-30,60.273,63.0214,73.8887,86.6689,51.7543,10.0,0.69211,-0.41429,0.36663,-0.08086,2.4943
2016-12-29,60.6669,63.4879,74.3352,87.2315,51.5941,10.0,0.68822,-0.41071,0.36675,-0.03086,2.4943
2016-12-28,60.8587,63.573,74.7284,87.5703,51.9117,10.0,0.68656,-0.41071,0.36713,-0.037,2.4943
2016-12-27,60.9084,63.7285,74.8321,87.643,52.0073,10.0,0.688004,-0.41071,0.36613,-0.0366,2.4943
2016-12-23,60.8641,63.5604,75.155,87.6158,51.7222,10.0,0.69378,-0.41071,0.36213,-0.035,2.4943
2016-12-22,61.1092,63.6086,75.4943,87.9092,51.957,10.0,0.68656,-0.41,0.36338,-0.03357,2.4943
2016-12-21,61.7967,64.2006,76.4796,88.9072,52.3014,10.0,0.686,-0.41,0.36213,-0.039,2.4943
2016-12-20,61.7931,64.6727,77.1796,88.9737,52.6504,10.0,0.68378,-0.41,0.36525,-0.05257,2.4943
2016-12-16,61.6368,64.6139,77.1816,88.8702,52.3188,10.0,0.68389,-0.41,0.373,-0.08114,2.4943
2016-12-15,60.8079,64.7543,77.0497,88.061,52.8121,10.0,0.67889,-0.41,0.37313,-0.11257,2.4943
2016-12-14,61.069,64.9774,77.4721,88.4853,52.9538,10.0,0.43867,-0.41,0.37563,-0.10929,2.4943
2016-12-13,61.5804,65.072,77.5728,89.0521,53.0866,10.0,0.437,-0.41,0.37688,-0.12071,2.4943
2016-09-12,63.3901,68.2458,80.0807,92.1421,55.8405,10.0,0.43422,-0.41,0.37688,-0.10786,2.4943
2016-08-12,63.9114,68.5002,80.6498,92.8297,55.9424,10.0,0.43311,-0.41,0.37688,-0.12186,2.4943
2016-07-12,63.8741,68.6902,81.4778,92.8902,56.0865,10.0,0.43367,-0.41,0.37938,-0.12257,2.4943
2016-06-12,63.9242,67.766,81.3244,92.8362,56.0223,10.0,0.43422,-0.41,0.38225,-0.11257,2.4943
2016-02-12,63.6807,67.6162,79.8747,92.3618,55.7258,10.0,0.43478,-0.41,0.38375,-0.10971,2.4943
2016-01-12,65.2382,69.3417,81.4499,94.7321,57.8712,10.0,0.43422,-0.41,0.3845,-0.09829,2.4943
2016-11-30,64.9449,68.8416,80.6356,94.2419,57.8187,10.0,0.43056,-0.41,0.38463,-0.10971,2.4943
2016-11-29,64.9153,69.1608,81.209,94.0502,58.0456,10.0,0.43422,-0.41,0.38588,-0.114,2.4943
